"nom.depth","target.depth","Cruise","Cast","decy","yyyymmdd","year","month","cruise","hhmm","latN","lonW","Pressure","Depth","Temp","Salt","O2","Beam","PAR","Fluor","Fluor_filt","Fluor_offset","sig_theta","AOU","bvfrq","bvfilt","vort","Sunrise","Sunset","Season","VertZone","MLD_dens125","MLD_bvfrq","MLD_densT2","MLD_densT3","MLD_densT1","MLD_dens2","MLD_densGR","MLD_te2","DCM","DCMde_top","DCMde_bot","DCMinML","par_est","par0","kpar","z_par_1pcnt","z_par_halfpcnt","z_par_tenthpcnt","bottle","cast","case","meanMLD"
"200","200","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","201","199.506130251259","18.6174","36.585","207.359","0.4046","NaN","NaN","NaN","0","26.3402729197226","21.1653769528445","1.09675105707638e-05","1.18621570208576e-05","8.60071980950805e-11","1027.46399999996","2134.96399999999","3","4","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"250","250","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","251","249.104419368039","18.3761","36.5649","211.282","0.4018","NaN","NaN","NaN","0","26.3880983450857","18.3027344122919","8.55660457262795e-06","8.03534846334505e-06","6.7099793887047e-11","1027.46399999996","2134.96399999999","3","4","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"300","300","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"400","400","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"500","500","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"600","600","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"700","700","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"800","800","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"900","900","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"1000","1000","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
